username,platform,label,follower_count,following_count,friends_count,posts_count,account_age_days,has_profile_photo,has_cover_photo,bio_length,username_digit_ratio,username_length,friend_request_mutuals,profile_completeness,avg_likes_per_post,posts_per_week
id_bot1858481,facebook,fake,7,703,19,4,26,1,0,0,0.5385,13,2,0.3616,4.5,1.06
netuser6037,facebook,fake,15,543,16,44,393,1,0,48,0.3636,11,1,0.7671,2.27,0.788
anika.iyer,instagram,real,1919,121,39,44,366,1,0,98,0.0,10,17,0.8333,28.0,0.847
rohan_santos,instagram,real,329,438,19,15,52,1,0,38,0.0,12,4,0.4982,34.47,2.031
theo_santos,instagram,real,353,179,23,124,856,1,1,82,0.0,11,5,1.0,217.38,1.018
new_user658,instagram,fake,29,728,8,3,55,1,1,54,0.2727,11,2,0.6506,3.31,0.402
ninacosta2,facebook,real,330,313,518,4,1012,1,1,0,0.1,10,7,0.6841,2.54,0.029
felixpark,facebook,real,584,170,445,43,1099,1,1,152,0.0,9,6,1.0,101.01,0.276
win.real3933481,facebook,fake,13,177,35,33,1815,1,0,43,0.4667,15,1,0.7274,1.88,0.127
adityaiyer4,twitter,fake,7,583,11,25,1146,1,0,49,0.0909,11,3,0.7056,1.4,0.151
zara_santos,facebook,real,548,186,262,42,709,1,1,67,0.0,11,39,0.9735,13.23,0.414
real.q085,facebook,fake,26,744,18,16,1529,1,0,35,0.3333,9,2,0.6381,2.56,0.072
bot837086,facebook,fake,3,855,28,1,6,1,1,28,0.6667,9,1,0.5664,2.46,10.413
arjun_hassan,facebook,real,139,96,201,9,45,1,1,124,0.0,12,6,0.7237,2.78,1.363
freya.moreau,facebook,real,107,474,825,191,779,1,1,75,0.0,12,23,0.9905,23.37,1.717
clarapark3,twitter,fake,28,1068,10,2,71,1,0,47,0.1,10,1,0.4727,1.45,0.192
real.win15044,instagram,fake,84,1482,12,14,17,0,0,29,0.3846,13,1,0.2937,2.9,14.172
official_user57060,twitter,fake,5,518,2,1,12,1,0,24,0.2778,18,2,0.3934,3.51,0.705
noahmoreau3,instagram,fake,3,1508,5,3,15,0,0,6,0.0909,11,1,0.2001,4.72,7.144
arjun_hassan2,instagram,real,66,377,64,17,13,1,1,85,0.0769,13,8,0.7426,17.44,9.047
mayaberg2,instagram,fake,96,3413,70,1,18,0,0,25,0.1111,9,6,0.2304,5.73,16.506
meera.kade,facebook,real,175,175,318,40,742,1,1,63,0.0,10,33,0.9654,15.24,0.381
rohan.weiss,instagram,real,3017,289,49,104,283,1,1,81,0.0,11,6,0.9626,41.39,2.567
official_300,instagram,fake,10,1197,8,43,1179,1,0,6,0.25,12,2,0.6802,11.4,0.257
priyanair4,facebook,fake,22,1291,22,9,15,1,0,8,0.1,10,1,0.394,1.65,4.241
official98368,instagram,fake,93,2619,7,11,796,1,0,31,0.3846,13,1,0.6105,1.74,0.098
id735,instagram,fake,13,5201,7,11,22,1,1,44,0.6,5,1,0.6473,6.05,3.457
zararao,facebook,real,296,217,171,33,950,1,0,70,0.0,7,31,0.7849,7.72,0.245
nina.costa,twitter,real,39,130,12,102,1662,0,0,45,0.0,10,20,0.5937,12.22,0.428
elena_santos,instagram,real,568,186,54,107,536,0,1,53,0.0,12,34,0.7779,63.54,1.393
net.new4347906,instagram,fake,34,1245,7,3,27,1,1,0,0.5,14,1,0.5249,1.98,0.781
leilanair5,twitter,fake,17,1209,4,5,31,0,0,51,0.1,10,4,0.3061,5.03,1.033
noah_brook,instagram,real,6143,397,16,58,1654,1,1,124,0.0,10,28,1.0,49.67,0.246
noahkhan,facebook,real,136,95,193,125,531,1,1,50,0.0,8,34,0.9368,31.42,1.654
lucia.alvarez,twitter,real,516,438,8,1101,875,1,1,119,0.0,13,45,1.0,4.31,8.805
real826263,instagram,fake,11,599,3,24,95,0,1,10,0.6,10,0,0.4985,3.5,1.773
priya.kade90,instagram,real,223,162,58,99,608,1,1,166,0.1667,12,40,1.0,295.96,1.134
kai.dsouza97,instagram,real,697,440,32,420,774,1,0,68,0.1667,12,20,0.8094,105.71,3.802
